CASE_GROUP_ID	STUDENT_ID	ACTION	ERROR	PRE_STATE	POST_STATE	STATE_LABEL	ACTION_LABEL	GOAL
Boisvert_Fall_2009	6.77473E+15	SIMP	0	K>M,Z>R,~(K>R),~(~KvR),~~K&~R\M&~Z,M,~Z	K>M,Z>R,~(K>R),~(~KvR),~~K,~~K&~R\M&~Z,M,~Z	~~K	SIMP	0
Boisvert_Fall_2009	6.77473E+15	SIMP	0	K>M,Z>R,~(K>R),~(~KvR),~~K,~~K&~R\M&~Z,M,~Z	K>M,Z>R,~(K>R),~(~KvR),~R,~~K,~~K&~R\M&~Z,M,~Z	~R	SIMP	0
Boisvert_Fall_2009	6.77473E+15	MT	0	K>M,Z>R,~(K>R),~(~KvR),~R,~~K,~~K&~R\M&~Z,M,~Z	K>M,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z,M,~Z	~Z	MT	0
Boisvert_Fall_2009	6.77473E+15	MP	19	K>M,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z,M,~Z	K>M,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z,M,~Z		MP	0
Boisvert_Fall_2009	6.77473E+15	DN	0	K>M,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z,M,~Z	K,K>M,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z,M,~Z	K	DN	0
Boisvert_Fall_2009	6.77473E+15	MP~	0	K,K>M,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z,M,~Z	K,K>M,M,Z>R,~(K>R),~(~KvR),~R,~Z,~~K,~~K&~R\M&~Z,M,~Z	M	MP~	1
Boisvert_Fall_2009	6.78269E+13	IMPL&	0	K>M,Z>R,~(K>R)\M&~Z	K>M,Z>R,~(K>R),~(~KvR)\M&~Z	~(~KvR)	IMPL&	0
Boisvert_Fall_2009	6.78269E+13	IMPL	0	K>M,Z>R,~(K>R),~(~KvR)\M&~Z	K>M,Z>R,~(K>R),~(~KvR),~ZvR\M&~Z	~ZvR	IMPL	0
Boisvert_Fall_2009	6.78269E+13	DEM	3	K>M,Z>R,~(K>R),~(~KvR),~ZvR\M&~Z	K>M,Z>R,~(K>R),~(~KvR),~ZvR\M&~Z		DEM	0
Boisvert_Fall_2009	6.78269E+13	DEM	0	K>M,Z>R,~(K>R),~(~KvR),~ZvR\M&~Z	K>M,Z>R,~(K>R),~(~KvR),~ZvR,~~K&~R\M&~Z	~~K&~R	DEM	0
Boisvert_Fall_2009	6.78269E+13	SIMP	0	K>M,Z>R,~(K>R),~(~KvR),~ZvR,~~K&~R\M&~Z	K>M,Z>R,~(K>R),~(~KvR),~ZvR,~~K,~~K&~R\M&~Z	~~K	SIMP	0
Boisvert_Fall_2009	6.78269E+13	SIMP	0	K>M,Z>R,~(K>R),~(~KvR),~ZvR,~~K,~~K&~R\M&~Z	K>M,Z>R,~(K>R),~(~KvR),~R,~ZvR,~~K,~~K&~R\M&~Z	~R	SIMP	0
