PRE_STATE	POST_STATE	ACTION	STUDENT_ID	ERROR	GOAL
"A,A>(B&C),AvD,B&C,~D,~D&E\B"	"A,A>(B&C),AvD,B&C,~D,~D&E\B"	Extr	8.47466E+15	0	0
"A,A>(B&C),AvD,B&C,~D,~D&E\B"	"A,A>(B&C),AvD,B&C,~D,~D&E\B,B&q"	SIMP	8.47466E+15	0	0
"A,A>(B&C),AvD,B&C,~D,~D&E\B,B&q"	"A,A>(B&C),AvD,B&C,C,~D,~D&E\B,B&q"	SIMP	8.47466E+15	0	0
"A,A>(B&C),AvD,B&C,C,~D,~D&E\B,B&q"	"A,A>(B&C),AvD,B,B&C,C,~D,~D&E\B,B&q"	SIMP~	8.47466E+15	0	TRUE
"A>(B&C),AvD,~D&E\B"	"A>(B&C),AvD,~D,~D&E\B"	SIMP&	8.47466E+15	0	0
"A>(B&C),AvD,~D,~D&E\B"	"A>(B&C),AvD,~D,~D&E\B"	MP	8.47466E+15	19	0
"A>(B&C),AvD,~D,~D&E\B"	"A,A>(B&C),AvD,~D,~D&E\B"	DS	8.47466E+15	0	0
"A,A>(B&C),AvD,~D,~D&E\B"	"A,A>(B&C),AvD,B&C,~D,~D&E\B"	MP	8.47466E+15	0	0
"A,A>(B&C),AvD,B&C,~D,~D&E\B"	"A,A>(B&C),AvD,B&C,C,~D,~D&E\B"	SIMP	8.47466E+15	0	0
"A,A>(B&C),AvD,B&C,C,~D,~D&E\B"	"A,A>(B&C),AvD,B,B&C,C,~D,~D&E\B"	SIMP~	8.47466E+15	0	TRUE
"A>(B&C),AvD,~D&E\B"	"A>(B&C),AvD,~D,~D&E\B"	SIMP&	8.48373E+13	0	0
"A>(B&C),AvD,~D,~D&E\B"	"(AvD)&~D,A>(B&C),AvD,~D,~D&E\B"	CONJ	8.48373E+13	0	0
"(AvD)&~D,A>(B&C),AvD,~D,~D&E\B"	"A>(B&C),AvD,~D,~D&E\B"	Del	8.48373E+13	0	0
"A>(B&C),AvD,~D,~D&E\B"	"A,A>(B&C),AvD,~D,~D&E\B"	DS	8.48373E+13	0	0
"A,A>(B&C),AvD,~D,~D&E\B"	"A,A>(B&C),AvD,~D,~D&E\B"	MT	8.48373E+13	19	0
"A,A>(B&C),AvD,~D,~D&E\B"	"A,A>(B&C),AvD,B&C,~D,~D&E\B"	MP	8.48373E+13	0	0
"A,A>(B&C),AvD,B&C,~D,~D&E\B"	"A,A>(B&C),AvD,B,B&C,~D,~D&E\B"	SIMP~	8.48373E+13	0	TRUE
"A>(B&C),AvD,~D&E\B"	"A>(B&C),AvD,~D&E\B"	Extr&	8.48385E+15	0	0
"A>(B&C),AvD,~D&E\B"	"A>(B&C),AvD,~D&E\B,p>B,p"	MP	8.48385E+15	0	0
"A>(B&C),AvD,~D&E\B,p>B,p"	"A>(B&C),AvD,~D&E\B,p>B,p"	Del	8.48385E+15	0	0
"A>(B&C),AvD,~D&E\B,p>B,p"	"A>(B&C),AvD,~D&E\B,p>B,p"	Del	8.48385E+15	0	0
"A>(B&C),AvD,~D&E\B,p>B,p"	"A>(B&C),AvD,~D,~D&E\B,p>B,p"	SIMP	8.48385E+15	0	0
"A>(B&C),AvD,~D,~D&E\B,p>B,p"	"A,A>(B&C),AvD,~D,~D&E\B,p>B,p"	DS	8.48385E+15	0	0
"A,A>(B&C),AvD,~D,~D&E\B,p>B,p"	"A,A>(B&C),AvD,B&C,~D,~D&E\B,p>B,p"	MP	8.48385E+15	0	0
"A,A>(B&C),AvD,B&C,~D,~D&E\B,p>B,p"	"A,A>(B&C),AvD,B,B&C,~D,~D&E\B,p>B,p"	SIMP~	8.48385E+15	0	TRUE
